shipToStateId,dateFirstShip,num,dateRevision,revisionNum,subTotal,billToCity,priorityId,mcTotalTax,totalTax,shipToCity,billToZip,dateCalStart,dateLastModified,registerId,id,currencyId,customerPO,taxRateId,locationGroupId,shipTermsId,dateCalEnd,salesmanId,salesmanInitials,dateExpired,calCategoryId,fobPointId,billToCountryId,shipToCountryId,taxRate,statusId,phone,estimatedTax,toBeEmailed,salesman,typeId,note,shipToAddress,totalPrice,customFields,carrierServiceId,totalIncludesTax,vendorPO,shipToResidential,billToAddress,paymentTermsId,shipToZip,dateCreated,customerContact,dateCompleted,customerId,taxRateName,email,createdByUserId,dateIssued,cost,qbClassId,toBePrinted,billToName,url,shipToName,currencyRate,carrierId,billToStateId,username
79,2022-05-22T00:00:00.000+0800,8,,1,3000.0,Santa Barbara,50,0.0,300.0,Santa Barbara,3608,2022-05-22T00:00:00.000+0800,2022-07-05T09:52:55.484+0800,,31,,,2.0,5,10,2022-05-22T00:15:00.000+0800,1,ADM,,,10,16,16,0.1,20,801-932-1101,0.0,True,admin,10,,2222 Wrecker's Blvd,3300.0,"{""20"": {""name"": ""Custom"", ""type"": ""Text""}}",15.0,False,,False,2222 Wrecker's Blvd,1,3608,2022-05-22T00:00:00.000+0800,Allan's Raceway,,123,GST,,1,2022-05-22T00:00:00.000+0800,0.0,11,True,Allan's Raceway,,Allan's Raceway,1.0,7,79,
79,2022-05-22T00:00:00.000+0800,9,,1,30.0,South Yarra,30,0.0,3.0,South Yarra,3526,2022-05-22T00:00:00.000+0800,2022-07-05T09:52:55.512+0800,,32,,,2.0,5,10,2022-05-22T00:15:00.000+0800,1,ADM,,,10,16,16,0.1,20,801-932-1101,0.0,True,admin,10,,Big Al's Bike Shop,33.0,"{""20"": {""name"": ""Custom"", ""type"": ""Text""}}",17.0,False,,False,Big Al's Bike Shop,5,3526,2022-05-22T00:00:00.000+0800,Big Al's Bike Shop,,114,GST,,1,2022-05-22T00:00:00.000+0800,0.0,1,True,Big Al's Bike Shop,,Big Al's Bike Shop,1.0,8,79,
79,2022-05-22T00:00:00.000+0800,11,,1,50.0,South Yarra,30,0.0,5.0,South Yarra,3526,2022-05-22T00:00:00.000+0800,2022-07-05T09:52:55.441+0800,,33,,,2.0,5,10,2022-05-22T00:15:00.000+0800,1,ADM,,,10,16,16,0.1,20,801-932-1101,0.0,True,admin,10,,Big Al's Bike Shop,55.0,"{""20"": {""name"": ""Custom"", ""type"": ""Text""}}",17.0,False,,False,Big Al's Bike Shop,5,3526,2022-05-22T00:00:00.000+0800,Big Al's Bike Shop,,114,GST,,1,2022-05-22T00:00:00.000+0800,0.0,1,True,Big Al's Bike Shop,,Big Al's Bike Shop,1.0,8,79,
79,2022-05-22T00:00:00.000+0800,10004,,1,1178.0,Wallington,10,0.0,117.8,Wallington,3475,2022-05-22T00:00:00.000+0800,2022-07-05T09:52:55.241+0800,,34,,,2.0,5,10,2022-05-22T00:15:00.000+0800,1,ADM,,,10,16,16,0.1,20,801-932-1101,0.0,True,admin,10,,555 Suntan Ave.,1295.8,"{""20"": {""name"": ""Custom"", ""type"": ""Text""}}",21.0,False,,False,555 Suntan Ave.,1,3475,2022-05-22T00:00:00.000+0800,Beach Bikes,,125,GST,,1,2022-05-22T00:00:00.000+0800,0.0,11,True,Beach Bikes,,Beach Bikes,1.0,6,79,
79,2022-05-29T00:00:00.000+0800,10005,,1,30.0,North Melbourne,20,0.0,3.0,North Melbourne,3930,2022-05-29T00:00:00.000+0800,2022-07-05T09:52:56.420+0800,,35,,,2.0,5,10,2022-05-29T00:15:00.000+0800,1,ADM,,,10,16,16,0.1,20,801-932-1101,0.0,True,admin,10,,17 Enterprise Way,33.0,"{""20"": {""name"": ""Custom"", ""type"": ""Text""}}",25.0,False,,False,17 Enterprise Way,4,3930,2022-05-22T00:00:00.000+0800,Captain Kirk,,140,GST,elcapitan@example.com,1,2022-05-22T00:00:00.000+0800,0.0,1,True,Captain Kirk,,Captain Kirk,1.0,8,79,
79,2022-05-22T00:00:00.000+0800,10007,,1,1350.0,Malvern,30,0.0,135.0,Malvern,3477,2022-05-22T00:00:00.000+0800,2022-07-05T09:52:55.346+0800,,36,,,2.0,5,10,2022-05-22T00:15:00.000+0800,1,ADM,,,10,16,16,0.1,10,801-932-1101,0.0,True,admin,10,,156 SW 93rd St,1485.0,"{""20"": {""name"": ""Custom"", ""type"": ""Text""}}",15.0,False,,False,156 SW 93rd St,4,3477,2022-05-22T00:00:00.000+0800,Dusty's Rusty Bike Store,,135,GST,rustydusty@example.com,1,,0.0,1,True,Dusty's Rusty Bike Store,,Dusty's Rusty Bike Store,1.0,7,79,
79,2022-05-22T00:00:00.000+0800,10010,,1,50.0,South Yarra,30,0.0,5.0,South Yarra,3526,2022-05-22T00:00:00.000+0800,2022-07-05T09:52:55.400+0800,,37,,,2.0,5,10,2022-05-22T00:15:00.000+0800,1,ADM,,,10,16,16,0.1,20,801-932-1101,0.0,True,admin,10,,Big Al's Bike Shop,55.0,"{""20"": {""name"": ""Custom"", ""type"": ""Text""}}",17.0,False,,False,Big Al's Bike Shop,5,3526,2022-05-22T00:00:00.000+0800,Big Al's Bike Shop,,114,GST,,1,2022-05-22T00:00:00.000+0800,0.0,1,True,Big Al's Bike Shop,,Big Al's Bike Shop,1.0,8,79,
79,2022-06-12T00:00:00.000+0800,10012,,1,375.0,Berick,30,0.0,37.5,Berick,3655,2022-06-12T00:00:00.000+0800,2022-07-05T09:52:57.280+0800,,38,,,2.0,5,10,2022-06-12T00:15:00.000+0800,1,ADM,,,10,16,16,0.1,10,801-932-1101,0.0,True,admin,10,,246 Bike Street,412.5,"{""20"": {""name"": ""Custom"", ""type"": ""Text""}}",26.0,False,,False,246 Bike Street,4,3655,2022-05-22T00:00:00.000+0800,Bike Bargains,,99,GST,bikes@example.com,1,,0.0,1,True,Bike Bargains,,Bike Bargains,1.0,6,79,
79,2022-06-09T00:00:00.000+0800,10013,,1,250.0,Portsea,40,0.0,25.0,Portsea,3004,2022-06-09T00:00:00.000+0800,2022-07-05T09:52:56.786+0800,,39,,,2.0,5,10,2022-06-09T00:15:00.000+0800,1,ADM,,,10,16,16,0.1,20,801-932-1101,0.0,True,admin,10,,2424 Brighton Blvd.,275.0,"{""20"": {""name"": ""Custom"", ""type"": ""Text""}}",17.0,False,,False,2424 Brighton Blvd.,2,3004,2022-06-09T00:00:00.000+0800,Brighton Bikes,,127,GST,babybikes@example.com,1,2022-06-09T00:00:00.000+0800,0.0,1,True,Brighton Bikes,,Brighton Bikes,1.0,8,79,
79,2022-06-09T00:00:00.000+0800,10014,,1,1320.0,North Melbourne,20,0.0,132.0,North Melbourne,3930,2022-06-09T00:00:00.000+0800,2022-07-05T09:52:56.822+0800,,40,,,2.0,5,10,2022-06-09T00:15:00.000+0800,1,ADM,,,10,16,16,0.1,20,801-932-1101,0.0,True,admin,10,,17 Enterprise Way,1452.0,"{""20"": {""name"": ""Custom"", ""type"": ""Text""}}",25.0,False,,False,17 Enterprise Way,4,3930,2022-06-09T00:00:00.000+0800,Captain Kirk,,140,GST,elcapitan@example.com,1,2022-06-09T00:00:00.000+0800,0.0,1,True,Captain Kirk,,Captain Kirk,1.0,8,79,
